institution,actAvg,hsGpaAvg,satAvg,acceptanceRate,satEla50,satEla75,satMath50,satMath75,actComp50,actComp75,actEng50,actEng75,actMath50,actMath75
Aaniiih Nakoda College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene Christian University,20,3.6,1010,64,600,650,580,620,25,28,25,29,24,27
Abraham Baldwin Agricultural College,16,NA,890,67,500,560,475,520,19,22,18,22,17,21
Academy of Art University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams State University,15,3.2,910,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi University,23,3.7,1110,78,610,660,600,680,27,30,27,33,25,27
Adrian College,18,3.2,880,68,510,580,500,560,23,27,26,31,24,27
AdventHealth University,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agnes Scott College,26,3.7,1180,68,660,695,580,635,27,31,NA,NA,NA,NA
Alabama State University,16,3.1,865,96,452,505,406,462,18,20,18,22,17,19
Alaska Pacific University,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany College of Pharmacy and Health Sciences,NA,3.5,NA,59,610,680,630,700,28,31,24,30,25,29
Albany State University,14,NA,790,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albertus Magnus College,NA,2.9,820,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albion College,NA,3.5,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albright College,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcorn State University,15,3.3,850,25,430,513,410,485,16,19,15,19,16,17
Alfred University,24,3.4,1100,48,620,660,590,650,28,29,26,31,26,27
Alice Lloyd College,16,3.3,NA,42,440,500,430,460,19,22,18,22,17,20
Allegheny College,25,3.4,1138,59,640,690,610,668,29,30,28,32,26,28
Allen College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen University,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alma College,22,3.6,950,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpena Community College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvernia University,NA,3.5,1066,62,595,658,575,628,NA,NA,NA,NA,NA,NA
Alverno College,16,3.2,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American International College,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Musical and Dramatic Academy,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa Community College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American University,29,NA,1290,47,700,740,670,720,31,32,33,35,27,29
American University of Health Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amherst College,31,NA,1360,10,760,780,780,800,34,35,35,36,34,35
Ana G. Mendez University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew College,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrews University,20,3.6,1060,78,590,660,560,630,23,26,23,27,22,26
Angelo State University,17,3.6,920,76,520,590,510,560,21,24,20,24,20,24
Anna Maria College,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antioch College,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appalachian Bible College,NA,NA,NA,100,525,583,470,523,21,23,22,24,21,24
Appalachian State University,21,3.9,1100,89,610,660,590,620,25,27,23,27,23,26
Aquinas College,20,NA,1000,71,510,590,510,550,21,26,24,25,21,26
Arcadia University,26,3.4,1083,79,610,650,580,615,NA,NA,NA,NA,NA,NA
Arizona Christian University,17,3.3,1000,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas Baptist College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas State University,19,3.6,1030,70,530,570,570,620,21,24,21,25,19,23
Arkansas Tech University,17,3.4,940,96,510,550,490,550,20,23,21,24,19,23
Art Academy of Cincinnati,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asbury University,21,3.8,1050,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland University,20,3.6,1040,81,560,610,560,598,22,25,22,25,23,26
Aspen University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assumption University,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Metropolitan State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn University,25,NA,1240,50,660,690,660,700,29,31,29,33,26,29
Auburn University at Montgomery,18,3.4,1000,93,570,603,560,600,21,24,21,24,18,23
Augsburg University,NA,3.2,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augustana College,21,3.5,1010,68,570,630,580,640,25,29,24,29,24,28
Augustana University,21,3.7,1075,59,630,680,625,690,24,27,23,26,24,27
Augusta University,19,NA,1020,86,540,590,520,550,22,25,21,25,21,23
Aultman College of Nursing and Health Sciences,NA,NA,NA,55,NA,NA,NA,NA,19,25,18,28,21,28
Aurora University,19,NA,980,82,540,580,515,570,26,29,25,32,26,27
Austin College,24,3.6,1100,47,610,660,590,650,26,29,25,28,25,26
Austin Community College District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Peay State University,18,3.3,983,96,515,573,490,553,21,24,21,25,19,23
Ave Maria University,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Averett University,16,3.1,960,48,550,583,540,560,26,28,NA,NA,NA,NA
Avila University,18,NA,NA,68,450,500,420,460,18,21,17,21,17,20
Azusa Pacific University,18,NA,994,80,585,615,520,623,29,30,32,34,26,28
Babson College,NA,NA,NA,20,700,740,760,790,32,34,32,35,32,34
Bacone College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker College,NA,NA,NA,37,550,600,530,560,NA,NA,NA,NA,NA,NA
Bakersfield College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker University,13,3.4,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baldwin Wallace University,20,NA,1050,77,590,650,580,640,25,29,25,29,25,28
Ball State University,25,3.6,1080,72,590,640,570,620,23,24,22,23,22,25
