displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
Aaniiih Nakoda College,tribal,MT,,,True,Unranked,-2,
Abilene Christian University,national-universities,TX,Abilene,,True,#296,296,
Abraham Baldwin Agricultural College,regional-colleges-south,GA,Tifton,south,True,#44,44,
Academy of Art University,regional-universities-west,CA,San Francisco,west,True,#105-115,-1,
Adams State University,regional-universities-west,CO,Alamosa,west,True,#105-115,-1,
Adelphi University,national-universities,NY,Garden City,,True,#189,189,
Adrian College,regional-colleges-midwest,MI,Adrian,midwest,True,#32,32,
AdventHealth University,health,FL,Orlando,,True,Unranked,-2,
Agnes Scott College,national-liberal-arts-colleges,GA,Decatur,,True,#63,63,
Alabama A&M University,regional-universities-south,AL,Normal,south,True,#97,97,
Alabama State University,national-universities,AL,Montgomery,,True,#392-434,-1,
Alaska Pacific University,regional-colleges-west,AK,Anchorage,west,True,#42-45,-1,
Albany College of Pharmacy and Health Sciences,health,NY,Albany,,True,Unranked,-2,
Albany State University,regional-universities-south,GA,Albany,south,True,#97,97,
Albertus Magnus College,regional-universities-north,CT,New Haven,north,True,#120,120,
Albion College,national-liberal-arts-colleges,MI,Albion,,True,#126,126,
Albizu University,health,PR,San Juan,,True,Unranked,-2,
Albizu University--Miami,national-universities,FL,Miami,,True,Unranked,-2,
Albright College,national-liberal-arts-colleges,PA,Reading,,True,#158,158,
Alcorn State University,regional-universities-south,MS,Lorman,south,True,#51,51,
Alfred State College--SUNY,regional-colleges-north,NY,Alfred,north,True,#10,10,
Alfred University,regional-universities-north,NY,Alfred,north,True,#66,66,
Alice Lloyd College,regional-colleges-south,KY,Pippa Passes,south,True,#47,47,
Allegheny College,national-liberal-arts-colleges,PA,Meadville,,True,#80,80,
Allen College,health,IA,Waterloo,,True,Unranked,-2,
Allen University,national-liberal-arts-colleges,SC,Columbia,,True,#187-204,-1,
Alliant International University,national-universities,CA,San Diego,,True,Unranked,-2,
Alma College,regional-colleges-midwest,MI,Alma,midwest,True,#8,8,
Alpena Community College,regional-colleges-midwest,MI,Alpena,midwest,True,Unranked,-2,
Alvernia University,national-universities,PA,Reading,,True,#329,329,
Alverno College,regional-universities-midwest,WI,Milwaukee,midwest,True,#67,67,
American Academy of Art,specialty-arts,IL,Chicago,,True,Unranked,-2,
American International College,national-universities,MA,Springfield,,True,#392-434,-1,
American Musical and Dramatic Academy,specialty-arts,NY,,,True,Unranked,-2,
American Samoa Community College,regional-colleges-west,AS,Pago Pago,west,True,Unranked,-2,
American University,national-universities,DC,Washington,,True,#91,91,
American University of Health Sciences,health,CA,Signal Hill,,True,Unranked,-2,
Amherst College,national-liberal-arts-colleges,MA,Amherst,,True,#2,2,
Ana G. Mendez University,special-focus,PR,,,True,Unranked,-2,
Anderson University (IN),regional-universities-midwest,IN,Anderson,midwest,True,#67,67,
Anderson University (SC),regional-universities-south,SC,Anderson,south,True,#34,34,
Andrew College,regional-colleges-south,GA,Cuthbert,south,True,Unranked,-2,
Andrews University,national-universities,MI,Berrien Springs,,True,#273,273,
Angelo State University,regional-universities-west,TX,San Angelo,west,True,#64,64,
Anna Maria College,regional-universities-north,MA,Paxton,north,True,#147,147,
Antelope Valley College,regional-colleges-west,CA,Lancaster,west,True,Unranked,-2,
Antioch College,national-liberal-arts-colleges,OH,Yellow Springs,,True,#165,165,
Appalachian Bible College,faith,WV,Bradley,,True,Unranked,-2,
Appalachian State University,regional-universities-south,NC,Boone,south,True,#3,3,
Aquinas College,national-liberal-arts-colleges,MI,Grand Rapids,,True,#147,147,
Arcadia University,regional-universities-north,PA,Glenside,north,True,#74,74,
Arizona Christian University,regional-colleges-west,AZ,Glendale,west,True,#29,29,
Arizona College of Nursing--Las Vegas,health,NV,Las Vegas,,True,Unranked,-2,
Arizona College of Nursing--Tempe,health,AZ,Tempe,,True,Unranked,-2,
Arizona State University,national-universities,AZ,Tempe,,True,#121,121,
Arkansas Baptist College,regional-colleges-south,AR,Little Rock,south,True,Unranked,-2,
Arkansas State University,national-universities,AR,State University,,True,#342,342,
Arkansas Tech University,regional-universities-south,AR,Russellville,south,True,#65,65,
Art Academy of Cincinnati,specialty-arts,OH,Cincinnati,,True,Unranked,-2,
ArtCenter College of Design,regional-universities-west,CA,Pasadena,west,True,#29,29,
Art Institute of Atlanta,regional-colleges-south,GA,Atlanta,south,True,#88-97,-1,
Asbury University,regional-universities-south,KY,Wilmore,south,True,#31,31,
Ashland University,regional-universities-midwest,OH,Ashland,midwest,True,#37,37,
Aspen University,health,AZ,Phoenix,,True,Unranked,-2,
Assumption University,regional-universities-north,MA,Worcester,north,True,#57,57,
Atenas University Dr. María Luisa Hernández,health,PR,Manati,,True,Unranked,-2,
Atlanta Metropolitan State College,regional-colleges-south,GA,Atlanta,south,True,Unranked,-2,
Auburn University,national-universities,AL,Auburn,,True,#105,105,
Auburn University at Montgomery,regional-universities-south,AL,Montgomery,south,True,#65,65,
Augsburg University,regional-universities-midwest,MN,Minneapolis,midwest,True,#24,24,
Augustana College,national-liberal-arts-colleges,IL,Rock Island,,True,#100,100,
Augustana University,regional-universities-midwest,SD,Sioux Falls,midwest,True,#13,13,
Augusta University,national-universities,GA,Augusta,,True,#296,296,
Aultman College of Nursing and Health Sciences,health,OH,Canton,,True,Unranked,-2,
Aurora University,national-universities,IL,Aurora,,True,#273,273,
Austin College,national-liberal-arts-colleges,TX,Sherman,,True,#83,83,
Austin Community College District,regional-colleges-west,TX,,west,True,Unranked,-2,
Austin Peay State University,regional-universities-south,TN,Clarksville,south,True,#31,31,
Ave Maria University,national-liberal-arts-colleges,FL,Ave Maria,,True,#178,178,
